cluster_id	purity
0	0.321478
1	0.758901
2	0.515404
3	0.666472
4	0.553813
5	0.38453
6	0.46681
7	0.539345
8	0.590355
9	0.861133
10	0.444781
11	0.598913
12	0.980035
13	0.595586
14	0.80137
15	0.497983
16	0.734925
17	0.678172
18	0.793516
19	0.456376
20	0.491646
21	0.531083
22	0.608287
23	0.804875
24	0.770735
25	0.949828
26	0.666795
27	0.593789
28	0.933023
29	0.857738
30	0.572144
31	0.636692
32	0.682313
33	0.586805
34	0.477717
35	0.138191
36	0.217551
37	0.675348
38	0.825633
39	0.64627
40	0.41242
41	0.782474
42	0.674152
43	0.517656
44	0.561594
45	0.446648
46	0.693471
47	0.685045
48	0.600892
49	0.826502
50	0.392754
51	0.98364
52	0.59825
53	0.697441
54	0.523498
55	0.629658
56	0.36582
57	0.695388
58	0.963979
59	0.433176
60	0.456915
61	0.683987
62	0.630925
63	0.441976
64	0.713432
65	0.428221
66	0.73961
67	0.710589
68	0.43068
69	0.654007
70	0.410789
71	0.752876
72	0.359877
73	0.57305
74	0.527253
75	0.415711
76	0.776386
77	0.660629
78	0.778888
79	0.788596
80	0.719663
81	0.607872
82	0.626369
83	0.973293
84	0.687523
85	0.707499
86	0.43179
87	0.752602
88	0.583465
89	0.651631
90	0.977683
91	0.765417
92	0.339881
93	0.602547
94	0.525402
95	0.609688
96	0.801598
97	0.779813
98	0.41885
99	0.961954
100	0.692239
101	0.894008
102	0.772464
103	0.598602
104	0.750163
105	0.808015
106	0.44869
107	0.84825
108	0.495283
109	0.473732
110	0.783379
111	0.910439
112	0.507999
113	0.420597
114	0.543099
115	0.533374
116	0.3427
117	0.875742
118	0.485809
119	0.568818
120	0.36085
121	0.65644
122	0.622975
123	0.514101
124	0.378771
125	0.844937
126	0.606771
127	0.904602
128	0.644991
129	0.592028
130	0.563031
131	0.859603
132	0.653759
133	0.606767
134	0.618231
135	0.49119
136	0.724116
137	0.401317
138	0.450457
139	0.651896
140	0.918898
141	0.679294
142	0.688199
143	0.492798
144	0.708942
145	0.93672
146	0.595084
147	0.807669
148	0.349935
149	0.322924
150	0.424058
151	0.417243
152	0.507542
153	0.597557
154	0.772939
155	0.558288
156	0.643589
157	0.432663
158	0.606623
159	0.661712
